Rank,Player,Nation,Confederation,Goals,Caps,Goals_per_match
1,Cristiano Ronaldo, Portugal,UEFA,135,217,0.62
2,Lionel Messi, Argentina,CONMEBOL,112,190,0.59
3,Ali Daei, Iran,AFC,108,148,0.73
4,Sunil Chhetri, India,AFC,94,151,0.62
5,Mokhtar Dahari, Malaysia,AFC,89,142,0.63
6,Ali Mabkhout, United Arab Emirates,AFC,85,115,0.74
6,Romelu Lukaku, Belgium,UEFA,85,120,0.71
8,Ferenc Puskás, Hungary_Spain,UEFA,84,89,0.94
8,Robert Lewandowski, Poland,UEFA,84,156,0.54
10,Godfrey Chitalu, Zambia,CAF,79,111,0.71
10,Neymar, Brazil,CONMEBOL,79,128,0.62
12,Hussein Saeed, Iraq,AFC,78,137,0.57
13,Pelé, Brazil,CONMEBOL,77,92,0.84
14,Vivian Woodward, England_ England amateurs,UEFA,75,53,1.42
14,Sándor Kocsis, Hungary,UEFA,75,68,1.1
14,Kunishige Kamamoto, Japan,AFC,75,76,0.99
14,Bashar Abdullah, Kuwait,AFC,75,134,0.56
18,Majed Abdullah, Saudi Arabia,AFC,72,117,0.62
19,Kinnah Phiri, Malawi,CAF,71,117,0.61
19,Kiatisuk Senamuang, Thailand,AFC,71,134,0.53
19,Miroslav Klose, Germany,UEFA,71,137,0.52
22,Piyapong Pue-on, Thailand,AFC,70,100,0.7
22,Abdul Kadir, Indonesia,AFC,70,111,0.63
22,Stern John, Trinidad and Tobago,CONCACAF,70,115,0.61
25,Luis Suárez, Uruguay,CONMEBOL,69,143,0.48
25,Hossam Hassan, Egypt,CAF,69,177,0.39
27,Gerd Müller, West Germany,UEFA,68,62,1.1
27,Harry Kane, England,UEFA,68,102,0.67
27,Carlos Ruiz, Guatemala,CONCACAF,68,133,0.51
27,Robbie Keane, Republic of Ireland,UEFA,68,146,0.47
31,Edin Džeko, Bosnia and Herzegovina,UEFA,67,138,0.49
32,Didier Drogba, Ivory Coast,CAF,65,105,0.62
33,Teerasil Dangda, Thailand,AFC,64,128,0.5
34,Jasem Al-Huwaidi, Kuwait,AFC,63,83,0.76
35,Ronaldo, Brazil,CONMEBOL,62,98,0.63
35,Ahmed Radhi, Iraq,AFC,62,121,0.51
35,Zlatan Ibrahimovic, Sweden,UEFA,62,122,0.51
38,Abdul Ghani Minhat, Malaya  Malaysia,AFC,61,71,0.86
39,Imre Schlosser, Hungary,UEFA,59,68,0.87
